source,HCODE,SIGUNGU,EUPMYEON,name,address,type_name,type_code,assigned_pop,capacity_est,p_elderly,p_child,vuln,pressure,priority,lat,lon
민방위,4825055000,김해시,북부동,,,,,80740.0,1686.0,0.13137230616794648,0.06631161753777558,0.1118540995788952,47.88849347568209,432485.77342823247,35.251114,128.874842
통합,4833025300,양산시,물금읍,동산경로당,경상남도 양산시 물금읍 원동로 59 (삼전무지개맨션),한파쉼터,1,116545.0,3908.0,0.12804496117379552,0.09373203483632932,0.11775108327255565,29.822159672466736,409258.44383316266,35.3137223,128.9862621
통합,4825054000,김해시,내외동,내외동행정복지센터,경상남도 김해시 내동 1116-4,한파쉼터,1,67974.0,1686.0,0.15632447700591404,0.04545855768382028,0.12306470120928589,40.31672597864769,337257.4761565836,35.235207,128.864637
민방위,5011066000,제주시,노형동,,,,,54582.0,1458.0,0.12276941116118867,0.07354072771243267,0.10800080612656186,37.43621399176955,220682.7378600823,33.483358,126.4731
통합,4159025900,화성시,향남읍,서봉마을2단지경로당(하길6리),경기도 화성시 향남읍 상신하길로356번길 29-16 (서봉마을2단지아파트),한파쉼터,1,85623.0,3908.0,0.11260992957499737,0.07740910736601146,0.10204968291230158,21.909672466734904,191442.3360798362,37.1196745,126.9170344
통합,4128554000,고양시 일산동구,풍산동,"풍1,7통경로당",경기도 고양시 일산동구 숲속마을2로 146 (풍동),한파쉼터,1,37074.0,1046.0,0.17950585315854778,0.05772239305173437,0.14297081512650375,35.443594646271514,187868.77342256217,37.6728152,126.7975263
민방위,4613078000,여수시,쌍봉동,,,,,31058.0,752.0,0.14975207675961105,0.06536158155708674,0.12443492819885375,41.30053191489362,159614.16569148935,34.764958,127.657508
통합,1150059000,강서구,화곡본동,초록동어르신사랑방,서울특별시 강서구 초록마을로14길 36  (화곡동),한파쉼터,1,31980.0,997.0,0.18595997498436523,0.03539712320200125,0.14079111944965603,32.07622868605817,144423.21965897692,37.5411212,126.8484604
통합,2623076000,부산진구,개금3동,개금사회복지관경로당,"부산광역시 부산진구 백양관문로77번길 140 , 개금2지구도개공영구임대아파트 109동 (개금동)",한파쉼터,1,25724.0,990.0,0.2730912766288291,0.041206655263567094,0.2035258902192505,25.983838383838386,136038.38585858585,35.1632114,129.0236763
민방위,2817758000,미추홀구,학익1동,,,,,41113.0,1650.0,0.15520638240945686,0.07778561525551529,0.1319801522632744,24.916969696969698,135201.9692727273,37.439811,126.66275
통합,3023054600,대덕구,중리동,쌍청경로당,대전광역시 대덕구 중리동 101-1,한파쉼터,1,17622.0,419.0,0.24021109976166155,0.028657360118034277,0.17674497786857335,42.05727923627685,130991.60190930785,36.364399,127.433952
통합,4148057000,파주시,운정3동,파주중앙새마을금고한빛지점,경기도 파주시 와석순환로 66 (야당동),한파쉼터,1,67820.0,3908.0,0.12390150398112651,0.08046299026835742,0.11086994986729579,17.354145342886387,130489.28966223131,37.7102855,126.751754
통합,5011063000,제주시,아라동,아라주공아파트경로당,제주특별자치도 제주시 인다12길 1,한파쉼터,1,40742.0,1458.0,0.11320013745029699,0.0985469540032399,0.10880418241617985,27.9437585733882,123871.88737997256,33.473945,126.547288
민방위,1135058000,노원구,월계3동,,,,,27956.0,1250.0,0.24992845900701102,0.05483617112605523,0.1914007726427243,22.3648,119669.57184,37.617228,127.066458
통합,4148056000,파주시,운정2동,파주중앙새마을금고산내지점,경기도 파주시 교하로 87 (목동동),한파쉼터,1,63535.0,3908.0,0.11473990713779807,0.09786731722672543,0.10967813016447628,16.257676560900716,113289.99334698055,37.7276409,126.7339495
민방위,2653067000,사상구,학장동,,,,,25515.0,1158.0,0.26952772878698805,0.03872232020380169,0.20028610621203213,22.033678756476682,112598.70854922279,35.139036,128.983981
통합,5011052000,제주시,일도2동,천수경로당,제주특별자치도 제주시 동광로18길 9 (일도이동),한파쉼터,1,30990.0,1458.0,0.21187479832203937,0.06495643756050339,0.16779929009357855,21.255144032921812,110528.87448559671,33.5078052,126.5417343
민방위,3023053300,대덕구,비래동,,,,,14567.0,367.0,0.2483009542115741,0.03267659778952427,0.18361364728495916,39.69209809264305,106164.45476839237,36.358014,127.450633
통합,4825059000,김해시,삼안동,동부노인종합복지관,경상남도 김해시 신어산길 46 (삼방동),한파쉼터,1,35443.0,1686.0,0.18274412436870469,0.044578619191377705,0.14129447281550658,21.02194543297746,105275.80053380782,35.2575083,128.907051
통합,3023055000,대덕구,신탄진동,신탄진1통경로당,대전광역시 대덕구 신탄진동 100-7,한파쉼터,1,16048.0,419.0,0.20930957128614158,0.058449651046859424,0.16405159521435692,38.30071599045346,100834.29498806682,36.4534259,127.4343024
통합,1135062500,노원구,중계2.3동,"중계2,3동주민센터",서울특별시 노원구 노원로17길 56 (중계동),한파쉼터,1,31733.0,2000.0,0.2662843097091356,0.041691614407714364,0.1989065011187092,15.8665,100147.76134999999,37.6420765,127.0687455
통합,1150064000,강서구,방화2동,방화어르신사랑방,"서울특별시 강서구 개화동로23길 26 , 방화2동경로당 (방화동)",한파쉼터,1,22947.0,997.0,0.2527999302741099,0.03747766592582909,0.18820325096962567,23.0160481444333,99399.4071213641,37.5666716,126.8070831
통합,1150064100,강서구,방화3동,방화6단지어르신사랑방,"서울특별시 강서구 금낭화로23길 25 (방화동, 방화6단지아파트)",한파쉼터,1,21483.0,997.0,0.28664525438718985,0.04422101196294745,0.2139179816599171,21.54764292878636,99024.34784353059,37.5778926,126.8108645
통합,2729062400,달서구,상인1동,아이엠뱅크상인지점,대구광역시 달서구 상인서로 51  (상인동),한파쉼터,1,32705.0,1706.0,0.202660143708913,0.05173520868368751,0.15738266320134534,19.170574443141852,98674.78077373972,35.8147451,128.5434814
통합,4163052000,양주시,양주2동,만송4통휴먼시아5차경로당,"경기도 양주시 고읍북로 15 (만송동, 은빛마을휴먼시아)",한파쉼터,1,49090.0,3908.0,0.19309431656141782,0.058015889183133024,0.15257078834793236,12.561412487205732,94081.21110542477,37.7975629,127.0818894
통합,2635065000,해운대구,재송1동,재송1동행정복지센터,부산광역시 해운대구 재반로63번길 23,한파쉼터,1,36210.0,1910.0,0.16128141397404033,0.07738193869096935,0.13611157138911903,18.958115183246072,93436.9664921466,35.1846281,129.1251969
통합,2623078000,부산진구,범천2동,선록경로당,부산광역시 부산진구 엄광로326번가길 21 (범천동),한파쉼터,1,21573.0,990.0,0.25726602697816714,0.054698002132295,0.19649561952440547,21.79090909090909,92371.6636363636,35.1519773,129.0440127
민방위,4128555200,고양시 일산동구,백석2동,,,,,20029.0,608.0,0.18408307953467473,0.028758300464326727,0.1374856458135703,32.942434210526315,90713.58108552631,37.646464,126.783469
민방위,2623067000,부산진구,당감1동,,,,,20364.0,990.0,0.2956688273423689,0.03029856609703398,0.2160577489687684,20.56969696969697,90502.55272727272,35.167803,129.027356
민방위,2729060100,달서구,월성1동,,,,,39888.0,1706.0,0.09218311271560369,0.08561472121941437,0.09021259526674688,23.3810082063306,84134.21992966002,35.824542,128.534656
민방위,1135067000,노원구,상계5동,,,,,22331.0,1200.0,0.26420670816353947,0.03045094263579777,0.19407997850521694,18.609166666666667,80652.12833333331,37.663625,127.068475
민방위,5115061500,강릉시,강남동,,,,,15957.0,766.0,0.32750517014476405,0.0358463370307702,0.24000752021056587,20.83159268929504,79780.83368146213,37.751117,128.905042
